scope,group,column,description,unit,source
landcover,Land Cover Attributes,crop_perc_2015,percentage cover of crops for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_2017,percentage cover of crops for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_2018,percentage cover of crops for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_2019,percentage cover of crops for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_2020,percentage cover of crops for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_2021,percentage cover of crops for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,crop_perc_2022,percentage cover of crops for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_1990,percentage cover of deciduous woodland for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2015,percentage cover of deciduous woodland for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2017,percentage cover of deciduous woodland for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2018,percentage cover of deciduous woodland for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2019,percentage cover of deciduous woodland for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2020,percentage cover of deciduous woodland for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2021,percentage cover of deciduous woodland for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,dwood_perc_2022,percentage cover of deciduous woodland for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_1990,percentage cover of evergreen woodland for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2015,percentage cover of evergreen woodland for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2017,percentage cover of evergreen woodland for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2018,percentage cover of evergreen woodland for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2019,percentage cover of evergreen woodland for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2020,percentage cover of evergreen woodland for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2021,percentage cover of evergreen woodland for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,ewood_perc_2022,percentage cover of evergreen woodland for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
landcover,Land Cover Attributes,grass_perc_1990,percentage cover of grass and pasture for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2015,percentage cover of grass and pasture for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2017,percentage cover of grass and pasture for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2018,percentage cover of grass and pasture for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2019,percentage cover of grass and pasture for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2020,percentage cover of grass and pasture for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2021,percentage cover of grass and pasture for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,grass_perc_2022,percentage cover of grass and pasture for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_1990,percentage cover of inland water for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2015,percentage cover of inland water for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2017,percentage cover of inland water for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2018,percentage cover of inland water for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2019,percentage cover of inland water for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2020,percentage cover of inland water for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2021,percentage cover of inland water for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,inwater_perc_2022,percentage cover of inland water for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_1990,percentage cover of medium scale vegetation (shrubs) for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2015,percentage cover of medium scale vegetation (shrubs) for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2017,percentage cover of medium scale vegetation (shrubs) for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2018,percentage cover of medium scale vegetation (shrubs) for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2019,percentage cover of medium scale vegetation (shrubs) for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2020,percentage cover of medium scale vegetation (shrubs) for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2021,percentage cover of medium scale vegetation (shrubs) for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,shrub_perc_2022,percentage cover of medium scale vegetation (shrubs) for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_1990,percentage cover of suburban and urban for 1990,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2015,percentage cover of suburban and urban for 2015,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2017,percentage cover of suburban and urban for 2017,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2018,percentage cover of suburban and urban for 2018,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2019,percentage cover of suburban and urban for 2019,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2020,percentage cover of suburban and urban for 2020,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2021,percentage cover of suburban and urban for 2021,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,Land Cover Attributes,urban_perc_2022,percentage cover of suburban and urban for 2022,%,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",bulkdens,bulk density,g cm-3,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",bulkdens_5,5th percentile of bulkdens across the catchment,g cm-3,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",bulkdens_50,50th percentile (median) of bulkdens across the catchment,g cm-3,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",bulkdens_95,95th percentile of bulkdens across the catchment,g cm-3,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",bulkdens_missing,percentage of the catchment with no data for bulkdens,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",clay_perc,percentage clay,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",clay_perc_missing,percentage of the catchment with no data for clay_perc,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_cosby,saturated hydraulic conductivity (estimated using a pedotransfer function based on sand and clay fractions),cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_cosby_5,5th percentile of conductivity_cosby across the catchment,cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_cosby_50,50th percentile (median) of conductivity_cosby across the catchment,cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_cosby_95,95th percentile of conductivity_cosby across the catchment,cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_cosby_missing,percentage of the catchment with no data for conductivity_cosby,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_hypres,"saturated hydraulic conductivity (estimated using a pedotransfer function based on silt, clay and organic fractions, bulk density and topsoil)",cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_hypres_5,5th percentile of conductivity_hypres across the catchment,cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_hypres_50,50th percentile (median) of conductivity_hypres across the catchment,cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_hypres_95,95th percentile of conductivity_hypres across the catchment,cm h-1,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",conductivity_hypres_missing,percentage of the catchment with no data for conductivity_hypres,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,Key,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",organic_perc,percentage organic content,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",organic_perc_missing,percentage of the catchment with no data for organic_perc,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_cosby,volumetric porosity (saturated water content estimated using a pedotransfer function based on sand and clay fractions),-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_cosby_5,5th percentile of porosity_cosby across the catchment,-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_cosby_50,50th percentile (median) of porosity_cosby across the catchment,-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_cosby_95,95th percentile of porosity_cosby across the catchment,-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_cosby_missing,percentage of the catchment with no data for porosity_cosby,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_hypres,"volumetric porosity (saturated water content estimated using a pedotransfer function based on silt, clay and organic fractions, bulk density and topsoil)",-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_hypres_5,5th percentile of porosity_hypres across the catchment,-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_hypres_50,50th percentile (median) of porosity_hypres across the catchment,-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_hypres_95,95th percentile of porosity_hypres across the catchment,-,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",porosity_hypres_missing,percentage of the catchment with no data for porosity_hypres,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",root_depth,depth available for roots,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",root_depth_5,5th percentile of root_depth across the catchment,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",root_depth_50,50th percentile (median) of root_depth across the catchment,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",root_depth_95,95th percentile of root_depth across the catchment,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",root_depth_missing,percentage of the catchment with no data for root_depth,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",sand_perc,percentage sand,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",sand_perc_missing,percentage of the catchment with no data for sand_perc,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
