scope,column,dtype,missing,values,unit,description,group,source
landcover,urban_perc_2021,float64,—,0 … 78.41,%,percentage cover of suburban and urban for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2021,float64,—,0 … 9.9,%,percentage cover of inland water for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2021,float64,—,0 … 29.97,%,percentage cover of bare soil and rocks for 2021,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,dwood_perc_2022,float64,—,0 … 34.7,%,percentage cover of deciduous woodland for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,ewood_perc_2022,float64,—,0 … 93.56,%,percentage cover of evergreen woodland for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,grass_perc_2022,float64,—,0.96 … 99.88,%,percentage cover of grass and pasture for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,shrub_perc_2022,float64,—,0 … 98.79,%,percentage cover of medium scale vegetation (shrubs) for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,crop_perc_2022,float64,—,0 … 87.04,%,percentage cover of crops for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,urban_perc_2022,float64,—,0 … 74.95,%,percentage cover of suburban and urban for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,inwater_perc_2022,float64,—,0 … 9.89,%,percentage cover of inland water for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
landcover,bares_perc_2022,float64,—,0 … 15.61,%,percentage cover of bare soil and rocks for 2022,Land Cover Attributes,"25 m raster data, Land Cover Map 1990, 2015, 2017, 2018, 2019, 2020, 2021, 2022 (Marston et al., 2022, 2024; Morton et al., 2020a, b, c, 2021; Rowland et al., 2017, 2020)"
soil,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
soil,sand_perc,float64,—,19.37 … 82.14,%,percentage sand,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,sand_perc_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for sand_perc,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,silt_perc,float64,—,9.4 … 43.23,%,percentage silt,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,silt_perc_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for silt_perc,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,clay_perc,float64,—,6.88 … 51.31,%,percentage clay,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,clay_perc_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for clay_perc,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,organic_perc,float64,—,0.37 … 33.06,%,percentage organic content,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,organic_perc_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for organic_perc,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,bulkdens,float64,—,0.28 … 1.68,g cm-3,bulk density,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,bulkdens_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for bulkdens,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,bulkdens_5,float64,4  (0.6%),0.23 … 1.53,g cm-3,5th percentile of bulkdens across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,bulkdens_50,float64,—,0.28 … 1.74,g cm-3,50th percentile (median) of bulkdens across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,bulkdens_95,float64,41  (6.1%),0.28 … 1.74,g cm-3,95th percentile of bulkdens across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,tawc,float64,—,38.13 … 235.7,mm,total available water content,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,tawc_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for tawc,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,tawc_5,float64,7  (1.0%),31.73 … 235.7,mm,5th percentile of tawc across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,tawc_50,float64,—,33.89 … 235.7,mm,50th percentile (median) of tawc across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,tawc_95,float64,41  (6.1%),49.67 … 235.7,mm,95th percentile of tawc across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_cosby,float64,—,38.55 … 45.88,-,volumetric porosity (saturated water content estimated using a pedotransfer function based on sand and clay fractions),"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_cosby_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for porosity_cosby,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_cosby_5,float64,8  (1.2%),37.68 … 45.12,-,5th percentile of porosity_cosby across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_cosby_50,float64,—,37.68 … 46.04,-,50th percentile (median) of porosity_cosby across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_cosby_95,float64,41  (6.1%),40.1 … 46.11,-,95th percentile of porosity_cosby across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_hypres,float64,—,33.79 … 81,-,"volumetric porosity (saturated water content estimated using a pedotransfer function based on silt, clay and organic fractions, bulk density and topsoil)","Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_hypres_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for porosity_hypres,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_hypres_5,float64,8  (1.2%),32 … 81,-,5th percentile of porosity_hypres across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_hypres_50,float64,—,32 … 81,-,50th percentile (median) of porosity_hypres across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,porosity_hypres_95,float64,41  (6.1%),39 … 85,-,95th percentile of porosity_hypres across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_cosby,float64,—,0.51 … 5.1,cm h-1,saturated hydraulic conductivity (estimated using a pedotransfer function based on sand and clay fractions),"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_cosby_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for conductivity_cosby,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_cosby_5,float64,4  (0.6%),0.5 … 3.54,cm h-1,5th percentile of conductivity_cosby across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_cosby_50,float64,—,0.5 … 6.93,cm h-1,50th percentile (median) of conductivity_cosby across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_cosby_95,float64,41  (6.1%),0.64 … 6.93,cm h-1,95th percentile of conductivity_cosby across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_hypres,float64,—,0.57 … 3.13,cm h-1,"saturated hydraulic conductivity (estimated using a pedotransfer function based on silt, clay and organic fractions, bulk density and topsoil)","Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_hypres_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for conductivity_hypres,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_hypres_5,float64,5  (0.7%),0.49 … 3.13,cm h-1,5th percentile of conductivity_hypres across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_hypres_50,float64,—,0.57 … 3.13,cm h-1,50th percentile (median) of conductivity_hypres across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,conductivity_hypres_95,float64,41  (6.1%),0.6 … 4.38,cm h-1,95th percentile of conductivity_hypres across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,root_depth,float64,—,0.33 … 1.3,m,depth available for roots,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,root_depth_missing,float64,—,0 … 30.53,%,percentage of the catchment with no data for root_depth,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,root_depth_5,float64,5  (0.7%),0.3 … 1.3,m,5th percentile of root_depth across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,root_depth_50,float64,—,0.3 … 1.3,m,50th percentile (median) of root_depth across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,root_depth_95,float64,40  (6.0%),0.3 … 1.3,m,95th percentile of root_depth across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,soil_depth_pelletier,float64,—,0.65 … 41.48,m,depth to bedrock (maximum 50m),"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,soil_depth_pelletier_missing,float64,—,0 … 50.97,%,percentage of the catchment with no data for soil_depth_pelletier,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,soil_depth_pelletier_5,float64,—,0 … 17  (whole numbers),m,5th percentile of soil_depth_pelletier across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,soil_depth_pelletier_50,float64,1  (0.1%),1 … 50  (whole numbers),m,50th percentile (median) of soil_depth_pelletier across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,soil_depth_pelletier_95,float64,17  (2.5%),1 … 50,m,95th percentile of soil_depth_pelletier across the catchment,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment","European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
hydrometry,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
hydrometry,station_type,str,—,VA  ·  US  ·  FV  ·  TP  ·  CC   (+37 more),-,gauging station type denoted by the following abbreviations (B Broad-crested weir; C Crump profile single-crest weir; CB Compound broad-crested weir; CC Compound Crump weir; EM Electromagnetic gauging station; EW Essex weir; FL Flume; FV Flat V triangular profile weir; IV Index Velocity; MIS Miscellaneous; TP Rectangular thin-plate weir; US Ultrasonic gauging station; VA Velocity-area gauging station; VN Triangular (V notch) thin-plate weir); XC Cross Correlation. Two abbreviations may be applied to each station relating to the measurement of low or high flows.,Hydrometry,UK National River Flow Archive using the NRFA API*
hydrometry,daily_flow_period_start,str,—,1971-02-01  ·  1983-05-18  ·  1995-11-09  ·  1970-10-01  ·  1982-04-14   (+195 more),-,first date that daily flow time series provided in CAMELS-GB v2 is available for this gauging station,Hydrometry,Catchment timeseries of daily streamflow described in Table 2
hydrometry,daily_flow_period_end,str,—,2022-09-30  ·  2021-04-01  ·  2021-03-31  ·  2019-09-30  ·  2021-11-04   (+20 more),-,end date that daily flow time series provided in CAMELS-GB v2 are available for this gauging station,Hydrometry,Catchment timeseries of daily streamflow described in Table 2
hydrometry,daily_flow_perc_complete,float64,—,26.93 … 100,%,percentage of days with flow time series available from 1st October 1970 - 31st September 2022,Hydrometry,Catchment timeseries of daily streamflow described in Table 2
hydrometry,hourly_flow_period_start,str,7  (1.0%),1990-10-01 09:00:00  ·  1995-11-09 12:00:00  ·  1997-03-01 13:00:00  ·  1998-02-25 19:00:00  ·  1999-08-05 14:00:00   (+80 more),-,first date that hourly flow time series provided in CAMELS-GB v2 is available for this gauging station,Hydrometry,Catchment timeseries of hourly streamflow described in Table 3
hydrometry,hourly_flow_period_end,str,7  (1.0%),2022-10-01 08:00:00  ·  2005-08-13 14:00:00  ·  2021-04-01 11:00:00  ·  2021-04-01 09:00:00  ·  2019-09-30 09:00:00   (+18 more),-,end date that hourly flow time series provided in CAMELS-GB v2 are available for this gauging station,Hydrometry,Catchment timeseries of hourly streamflow described in Table 3
hydrometry,hourly_flow_perc_complete,float64,—,0 … 100,%,percentage of hours with flow time series available from 1st October 1990 09:00:00 UTC - 1st October 2022 08:00:00 UTC,Hydrometry,Catchment timeseries of hourly streamflow described in Table 3
hydrometry,bankfull_flow,float64,353  (52.6%),"0.26 … 1,471",m3 s-1,flow at which the river begins to overlap the banks at a gauging station (obtained from stage-discharge relationships so may be derived by extrapolation),Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,structurefull_flow,float64,433  (64.5%),0.3 … 500,m3 s-1,flow at which the river begins to overlap the wingwalls of a structure at a gauging station (obtained from stage-discharge relationships so may be derived by extrapolation),Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,max_gauging_flow_date,str,173  (25.8%),27-Apr-2000 11:30:00  ·  04-Nov-1984 12:00:00  ·  27-Apr-2000 13:20:00  ·  13-Oct-1982 13:00:00  ·  03-Oct-1981 12:00:00   (+488 more),-,date and time when the maximum gauging flow was taken,Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,max_gauging_flow,float64,173  (25.8%),"0.11 … 1,617",m3 s-1,the maximum gauging flow - the highest manual measurement of flow taken at a gauging station,Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,max_daily_flow,float64,173  (25.8%),"0.65 … 1,965",m3 s-1,the maximum daily flow recorded in the daily flow time series times provided in CAMELS-GB v2,Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,daily_flow_extrap_dur,float64,173  (25.8%),0 … 32.8,%,the percentage of time (excluding NaNs) that the daily flow timeseries is higher than the maximum gauging flow,Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,max_hourly_flow,float64,173  (25.8%),"0.95 … 2,273",m3 s-1,the maximum hourly flow recorded in the hourly flow time series times provided in CAMELS-GB v2,Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,hourly_flow_extrap_dur,float64,173  (25.8%),0 … 29.79,%,the percentage of time (excluding NaNs) that the hourly flow timeseries is higher than the maximum gauging flow,Hydrometry,"UK National River Flow Archive using the NRFA API*, catchment timeseries of streamflow described in Table 2 and 3"
hydrometry,q5_uncert_upper,float64,236  (35.2%),11.29 … 317.9,%,"upper bound of the discharge uncertainty interval for the 5th percentile flow given as a percentage of the 5th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q5_uncert_lower,float64,236  (35.2%),-100 … -11.25,%,"lower bound of the discharge uncertainty interval for the 5th percentile flow given as a percentage of the 5th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q25_uncert_upper,float64,174  (25.9%),9.51 … 190.2,%,"upper bound of the discharge uncertainty interval for the 25th percentile flow given as a percentage of the 25th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q25_uncert_lower,float64,174  (25.9%),-98.76 … -9.22,%,"lower bound of the discharge uncertainty interval for the 25th percentile flow given as a percentage of the 25th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q50_uncert_upper,float64,169  (25.2%),8.57 … 108.2,%,"upper bound of the discharge uncertainty interval for the 50th percentile flow given as a percentage of the 50th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q50_uncert_lower,float64,169  (25.2%),-89.17 … -8.6,%,"lower bound of the discharge uncertainty interval for the 50th percentile flow given as a percentage of the 50th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q75_uncert_upper,float64,171  (25.5%),6.18 … 83.3,%,"upper bound of the discharge uncertainty interval for the 75th percentile flow given as a percentage of the 75th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q75_uncert_lower,float64,171  (25.5%),-82.87 … -6.52,%,"lower bound of the discharge uncertainty interval for the 75th percentile flow given as a percentage of the 75th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q95_uncert_upper,float64,197  (29.4%),7.11 … 61.46,%,"upper bound of the discharge uncertainty interval for the 95th percentile flow given as a percentage of the 95th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
